OBJECTNUMMER;Adres;Postcode;STADSDEEL_CODE;GEBIED22_CODE;Gebouwnaam;Bruto_vloeroppervlak;Leegstand_bvo;Leegstand_perc;Huidige_functie;Toekomstige_functie;Transformatiefase;Transformatiewijze;Startbouw;Aantal_woningen;Website;COORDS;LNG;LAT;
59;"Keizersgracht 18";"";"A";"DX01";"";2804;0;0;"Wonen";"Kantoor - Wonen";"3 - In uitvoering";"C - Verbouw andere functie";2015;8;"";"POINT(4.889055 52.379242)";"4,889055";"52,379242";
60;"Leliegracht 34";"1015DG";"A";"DX01";"";250;0;0;"Commercieel - Kantoor - Wonen";"Wonen";"2 - In onderzoek - voorbereiding";"C - Verbouw andere functie";2017;2;"";"POINT(4.886499 52.375375)";"4,886499";"52,375375";
63;"Singel 238";"";"A";"DX01";"";3200;0;0;"Kantoor";"Wonen";"2 - In onderzoek - voorbereiding";"C - Verbouw andere functie";0;0;"";"POINT(4.888434 52.373462)";"4,888434";"52,373462";
64;"Herengracht 203";"1016BE";"A";"DX01";"";638;0;0;"Kantoor - Wonen";"Wonen";"3 - In uitvoering";"C - Verbouw andere functie";2016;4;"";"POINT(4.887603 52.373816)";"4,887603";"52,373816";
65;"Herengracht 209";"1016BE";"A";"DX01";"";602;0;0;"Kantoor";"Wonen";"3 - In uitvoering";"C - Verbouw andere functie";2016;3;"";"POINT(4.887591 52.373573)";"4,887591";"52,373573";
68;"Herengracht 370";"1016CH";"A";"DX01";"";1000;1000;100;"Kantoor";"Kantoor";"1 - Leegstand zonder transformatie";"X - Leegstand zonder transformatie";0;0;"";"POINT(4.886362 52.368411)";"4,886362";"52,368411";
69;"Keizersgracht 395-397";"";"A";"DX01";"";1300;1300;100;"Maatschappelijk";"Kantoor";"4 - Gerealiseerd";"C - Verbouw andere functie";0;0;"";"POINT(4.884857 52.367731)";"4,884857";"52,367731";
70;"Huidenstraat 23";"1016ER";"A";"DX01";"callcenter";0;0;0;"Kantoor";"Kantoor";"1 - Leegstand zonder transformatie";"X - Leegstand zonder transformatie";0;0;"";"POINT(4.88533 52.368757)";"4,88533";"52,368757";
73;"Marnixstraat 148";"1016TE";"A";"DX01";"";1400;1400;100;"Kantoor";"Commercieel";"3 - In uitvoering";"C - Verbouw andere functie";0;0;"";"POINT(4.876019 52.373650)";"4,876019";"52,373650";
75;"Herengracht 527";"1017BV";"A";"DX02";"";1500;0;0;"Kantoor";"Kantoor";"4 - Gerealiseerd";"D - Verbouw zelfde functie";0;0;"";"POINT(4.893498 52.365320)";"4,893498";"52,365320";
